abh_number,b&f_number,scientific_name,vernacular_name,family
73.167,,Apamea exulis assimilis,Northern Arches,Noctuidae
73.167,,Apamea exulis marmorata,Exile,Noctuidae
73.202,,Lithophane ornitopus lactipennis,Grey Shoulder-knot,Noctuidae
73.203,,Lithophane furcifera furcifera,Conformist,Noctuidae
73.203,,Lithophane furcifera suffusa,Conformist,Noctuidae
73.206,,Lithophane leautieri hesperica,Blair's Shoulder-knot,Noctuidae
73.23,,Aporophyla australis pascuea,Feathered Brindle,Noctuidae
73.235,,Polymixis lichenea lichenea,Feathered Ranunculus,Noctuidae
73.235,,Polymixis lichenea scillonea,Feathered Ranunculus,Noctuidae
73.236,,Polymixis xanthomista statices,Black-banded,Noctuidae
73.262,,Pachetra sagittigera britannica,Feathered Ear,Noctuidae
73.273,,Hada nana,Shears,Noctuidae
73.277,,Sideridis reticulata hibernica,Bordered Gothic,Noctuidae
73.277,,Sideridis reticulata marginosa,Bordered Gothic,Noctuidae
73.278,,Hadena luteago barrettii,Barrett's Marbled Coronet,Noctuidae
73.285,,Hadena caesia mananii,Grey,Noctuidae
73.286,,Hadena perplexa capsophila,Pod Lover,Noctuidae
73.286,,Hadena perplexa perplexa,Tawny Shears,Noctuidae
73.293,,Mythimna impura f. scotica,Smoky Wainscot,Noctuidae
73.293,,Mythimna impura impura,Smoky Wainscot,Noctuidae
73.3062,2180,Brithys crini pancratii,Kew Arches,Noctuidae
73.312,,Euxoa obelisca grisea,Square-spot Dart,Noctuidae
73.313,2081a,Euxoa crypta,Small White-line Dart,Noctuidae
73.324,,Agrotis trux lunigera,Crescent Dart,Noctuidae
73.325,,Agrotis puta insula,Shuttle-shaped Dart,Noctuidae
73.325,,Agrotis puta puta,Shuttle-shaped Dart,Noctuidae
73.333,,Diarsia mendica mendica,Ingrailed Clay,Noctuidae
73.333,,Diarsia mendica orkneyensis,Ingrailed Clay,Noctuidae
73.333,,Diarsia mendica thulei,Ingrailed Clay,Noctuidae
73.346,,Noctua interjecta caliginosa,Least Yellow Underwing,Noctuidae
73.356,,Xestia agathina agathina,Heath Rustic,Noctuidae
73.356,,Xestia agathina hebridicola,Heath Rustic,Noctuidae
73.363,,Xestia alpicola alpina,Northern Dart,Noctuidae
73.365,,Eugnorisma glareosa edda,Autumnal Rustic,Noctuidae
74.008,,Pseudoips prasinana britannica,Green Silver-lines,Nolidae
